objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Photograph,215471,8,0,0,1,0,0,0,0,0,0,0,3,,ABSTRACT,,,,125576785,6.363,7.39746,2.025,1606,3774,thing,Photograph,2,4,20,20,20,2016,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Prêt-à-Porter,87890,4,0,0,1,0,0,0,0,0,0,0,3,,EUROGAME,,,,85265170,6.7213,7.28383,3.5673,848,9490,thing,Prêt-à-Porter,2,4,90,90,90,2010,"2,3,4",4,14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Rafter Five,405538,7,0,0,1,0,0,0,0,0,0,0,3,,PARTY,,,,126601954,5.79185,6.74166,1.1,4674,1764,thing,Rafter Five,1,6,20,20,20,2023,"2,3,4,5,6",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Regicide,307002,0,0,0,1,0,0,0,0,0,0,0,3,,COOPERATIVE,,,,133719507,6.90791,7.40751,1.9497,593,12298,thing,Regicide,1,4,30,30,10,2020,"1,2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Remember Our Trip,294230,0,0,0,1,0,0,0,0,0,0,0,3,,EUROGAME,,,,127198391,6.0537,7.32351,2.1379,2781,2045,thing,Remember Our Trip,2,4,30,30,30,2019,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Resistance: Avalon,128882,8,0,0,1,0,0,0,0,0,0,0,3,,PARTY,,,,73921313,7.31436,7.50172,1.7392,221,51848,thing,The Resistance: Avalon,5,10,30,30,30,2012,"5,6,7,8,9,10",6,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Rum & Bones: Second Tide,196202,8,0,0,1,0,0,0,0,0,0,0,3,,AMERICAN_STYLE,,,,100468213,6.33249,7.58212,2.8235,1688,3806,thing,Rum & Bones: Second Tide,2,6,60,60,60,2017,"2,4",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Rumble Nation,266722,0,0,0,1,0,0,0,0,0,0,0,3,,AREA_CONTROL,,,,125576794,6.33226,7.442,1.82,1689,2458,thing,Rumble Nation,2,4,40,40,20,2017,"2,3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Samurai Spirit,158900,5,0,0,1,0,0,0,0,0,0,0,3,,COOPERATIVE,,,,45436107,6.23227,6.58531,2.1327,2016,8410,thing,Samurai Spirit,1,7,45,45,20,2014,"1,2,3,4,5,6,7",1,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Santorini,194655,10,0,0,1,0,0,0,0,0,0,0,3,,ABSTRACT,,,,45435682,7.20724,7.34698,1.7242,287,63805,thing,Santorini,2,4,20,20,20,2016,"2,3",2,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Sherlock Holmes Consulting Detective: The Baker Street Irregulars,296345,10,0,0,1,0,0,0,0,0,0,0,3,,COOPERATIVE,,,,83957255,6.57964,8.20978,2.3226,1097,6036,thing,Sherlock Holmes Consulting Detective: The Baker Street Irregulars,1,8,90,90,90,2020,"1,2,3,4",2,12+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,2511,9,0,0,1,0,0,0,0,0,0,0,3,,COOPERATIVE,,,,45436043,7.38069,7.61505,2.6637,185,43488,thing,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,120,60,1981,"1,2,3,4",2,14+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Skull,92415,7,0,0,1,0,0,0,0,0,0,0,3,,PARTY,,,,123283898,7.01619,7.18177,1.1128,459,42837,thing,Skull,3,6,45,45,15,2011,"3,4,5,6",6,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Soulaween,269766,6,0,0,1,0,0,0,0,0,0,0,3,,ABSTRACT,,,,125576722,5.60111,6.42621,1.6,8873,349,thing,Soulaween,2,2,30,30,15,2019,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Specter Ops,155624,7,0,0,1,0,0,0,0,0,0,0,3,,NON_SPECIFIED  ,,,,45435948,6.71739,7.16094,2.3966,861,9846,thing,Specter Ops,2,5,120,120,60,2015,"2,3,4,5",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Splendor Duel,364073,7,0,0,1,0,0,0,0,0,0,0,3,,ABSTRACT,,,,112391652,7.54566,7.89735,2.0087,113,31138,thing,Splendor Duel,2,2,30,30,30,2022,2,2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Spyfall 2,193308,7,0,0,1,0,0,0,0,0,0,0,3,,PARTY,,,,85265277,6.26643,6.81058,1.2245,1888,7348,thing,Spyfall 2,3,12,15,15,15,2016,"5,6,7,8,9,10,11,12",8,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
SUMO,406257,6,0,0,1,0,0,0,0,0,0,0,3,,ABSTRACT,,,,124108664,5.55452,6.51367,1.3333,12091,318,thing,SUMO,2,2,5,5,5,2023,2,2,8+,,,,,,,standalone,,,,,,,,,,,,,,,
Tales of the Arabian Nights,34119,8,0,0,1,0,0,0,0,0,0,0,3,,AMERICAN_STYLE,,,,45436065,6.85946,7.16086,2.1482,663,18323,thing,Tales of the Arabian Nights,2,6,120,120,120,2009,"2,3,4",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Tanto Cuore: Doki Doki Beach Volleyball,235427,6,0,0,1,0,0,0,0,0,0,0,3,,DECK_BUILDING,,,,125576739,5.52829,6.40089,1,16136,454,thing,Tanto Cuore: Doki Doki Beach Volleyball,2,2,25,25,15,2018,2,2,,,,,,,,standalone,,,,,,,,,,,,,,,
Twilight Struggle,12333,10,0,0,1,0,0,0,0,0,0,0,3,,EUROGAME,,,,81205198,8.05232,8.23613,3.6123,14,71385,thing,Twilight Struggle,2,2,180,180,120,2005,2,2,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Twister,5894,1,0,0,1,0,0,0,0,0,0,0,3,,PARTY,,,,45436127,4.78008,4.55766,1.0915,28627,10386,thing,Twister,2,4,10,10,10,1966,"2,3,4",4,5+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ukiyo,316085,6,0,0,1,0,0,0,0,0,0,0,3,,ABSTRACT,,,,125576676,5.65483,7.01915,1.5,6991,817,thing,Ukiyo,1,4,15,15,5,2020,"1,2",1,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Vagrantsong,340325,6,0,0,1,0,0,0,0,0,0,0,1,,LEGACY,,,,125618345,6.48967,7.48455,3.2021,1285,6670,thing,Vagrantsong,2,4,120,120,45,2022,"1,2,3",2,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Vengeance: Roll & Fight – Episode 2,335664,0,0,0,1,0,0,0,0,0,0,0,3,,ROLL_AND_X,,,,133719456,5.64664,7.21714,2.3333,7206,927,thing,Vengeance: Roll & Fight – Episode 2,1,4,30,30,30,2022,"1,2,3,4",2,12,,,,,,,standalone,,,,,,,,,,,,,,,
"Warhammer 40,000: Kill Team  Octarius",344697,0,0,0,1,0,0,0,0,0,0,0,3,,AMERICAN_STYLE,,,,125578173,5.89867,8.09006,3.7,3720,1308,thing,"Warhammer 40,000: Kill Team – Octarius",2,4,120,120,60,2021,"2,3",2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Warhammer Underworlds: Deathgorge,403634,4,0,0,1,0,0,0,0,0,0,0,3,,DECK_BUILDING,,,,125576841,0,7.9963,3,0,170,thing,Warhammer Underworlds: Deathgorge,2,2,30,30,30,2023,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Wiz-War (Eighth Edition),104710,8,0,0,1,0,0,0,0,0,0,0,3,,AMERICAN_STYLE,,,,46177758,6.54773,7.06138,2.32,1164,7593,thing,Wiz-War (Eighth Edition),2,4,60,60,30,2012,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
The Yellow House,420385,0,0,0,1,0,0,0,0,0,0,0,3,,ABSTRACT,,,,133719497,5.63487,6.50425,1.5455,7561,390,thing,The Yellow House,2,2,30,30,20,2024,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Zombicide: Black Plague,176189,6,0,0,1,0,0,0,0,0,0,0,3,,AMERICAN_STYLE,,,,125576849,7.22597,7.60361,2.4758,271,29057,thing,Zombicide: Black Plague,1,6,180,180,60,2015,"1,2,3,4,5,6",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
